chantons_sous_la_pluie|Gene Kelly|Comédie, comédie musicale, romance|1953-09-11|1 h 43 min|8.1|20018|176|20K|2.2K|6.1K|Don Lockwood et Lina Lamont forment le couple star du cinéma muet à Hollywood. Quand le premier film parlant sort, tous deux doivent s’accommoder et tournent leur premier film du genre. Si Don maîtrise l'exercice, la voix désagréable de Lina menace le duo. Kathy, une chanteuse, est engagée pour...
Persona|Ingmar Bergman|Drame|1966-12-21|1 h 24 min|8.1|8670|100|8.7K|1.1K|8.2K|Alma, infirmière, s'occupe d'Elisabeth, une actrice dans une période de mutisme. Alma lui fait des confessions qui vont changer leur relation.
autopsie_d_un_meurtre|Otto Preminger|Policier, drame, thriller|1959-10-14|2 h 40 min|8.1|3451|65|3.5K|382|4.1K|L'avocat Paul Biegler reçoit un coup de téléphone de Laura Manion lui demandant d'assurer la défense de son mari. Le lieutenant Frederik Manion a tué un propriétaire de bar qui avait violé sa femme. Biegler accepte de le défendre. Le procès commence et la vérité a du mal à émerger...
De_Nuremberg_a_Nuremberg|Frédéric Rossif|Historique||2 h 57 min|8.1|2023|16|2K|98|3.4K|De Nuremberg à Nuremberg est un film documentaire de Frédéric Rossif sur le régime nazi, dont le texte est écrit et lu par Philippe Meyer, et produit par Jean Frydman.Le titre fait référence aux rassemblements de masse nazis à partir de 1933 à Nuremberg, au début du règne de Hitler, et au...
Furie|Fritz Lang|Policier, drame, thriller|1936-10-16|1 h 32 min|8.1|1890|38|1.9K|221|2.5K|Joe Wilson est injustement accusé de l'enlèvement d'une jeune femme. La foule, excitée par plusieurs meneurs, prend d'assaut la prison où il est enfermé.
L_enfer_est_a_lui|Raoul Walsh|Gangster, film noir|1949-09-03|1 h 54 min|8.1|1108|32|1.1K|168|1.6K|Le gangster Cody Jarrett et ses complices attaquent un train en Californie. Pendant l'opération, quatre employés sont tués. La police est déterminée à retrouver les coupables et surveille la mère de Cody, à laquelle ce dernier voue une adoration pathologique.
les_evades|Frank Darabont|Drame|1995-03-01|2 h 22 min|8.1|55213|286|55K|4.8K|8.8K|En 1947, Andy Dufresne, un jeune banquier, est condamné à la prison à vie pour le meurtre de sa femme et de son amant. Ayant beau clamer son innocence, il est emprisonné à Shawshank, le pénitencier le plus sévère de l'Etat du Maine. Il y fait la rencontre de Red, détenu depuis vingt ans. Commence...
la_liste_de_schindler|Steven Spielberg|Biopic, drame, historique|1994-03-02|3 h 15 min|8.1|54314|263|54K|4K|17K|En 1939, les Allemands installés en Pologne, regroupent les juifs dans des ghettos dans le but de s'en servir comme main d'oeuvre bon marché. L'industriel Oskar Schindler, espère profiter de la situation pour faire fortune, en rachetant une fabrique d'ustensiles de cuisine. Sur les conseils de son...
sueurs_froides|Alfred Hitchcock|Romance, thriller|1958-12-12|2 h 08 min|8.1|27345|207|27K|2.1K|9.6K|Scottie est sujet au vertige, ce qui lui porte préjudice dans son métier de policier. Rendu responsable de la mort d'un de ses collègues, il décide de quitter la police. Une ancienne relation le contacte afin qu'il suive sa femme, possédée selon lui par l'esprit de son aïeule. Scottie s'éprend de...
Les_salauds_dorment_en_paix|Akira Kurosawa|Film noir|1960-09-04|2 h 31 min|8.1|2089|35|2.1K|335|4.3K|Iwabuchi est sur le point de marier sa fille à son secrétaire. Il se retrouve mêlé à une sombre affaire de pots de vins au sein même de sa société.
Seven|David Fincher|Policier, thriller|1996-01-31|2 h 07 min|8.1|104565|463|105K|6.6K|13K|Sur le point de prendre sa retraite, l'inspecteur William Somerset fait équipe avec le jeune David Mills. Tous deux mènent l'enquête sur une série de meurtres particulièrement étranges. En effet, un mystérieux serial killer, se faisant appeler John Doe, tue ses victimes selon les sept péchés...
l_impasse|Brian De Palma|Gangster, drame|1994-03-23|2 h 24 min|8.1|17163|161|17K|1.8K|8.8K|En 1975, à New York, après avoir passé cinq années en prison pour racket et trafic de drogue, Carlito Brigante est libéré grâce à son avocat et ami, David Kleinfeld. Ce dernier a découvert plusieurs vices de forme dans le procès. Aujourd'hui, Carlito veut changer de vie et s'installer aux Bahamas....
le_mecano_de_la_general|Buster Keaton|Muet, action, aventure|1927-02-24|1 h 18 min|8.1|7061|71|7.1K|734|3.4K|Quand les espions de l'Union volent la bien-aimée locomotive d'un ingénieur, la « General », l'homme les suit sans relâche, même en dépassant les lignes ennemies.
Une_journee_particuliere|Ettore Scola|Drame|1977-09-07|1 h 46 min|8.1|3899|59|3.9K|552|3.7K|À Rome, le 6 mai 1938, alors que tous les habitants d'un immeuble sont partis assister au défilé du Duce Mussolini et d'Hitler, une mère de famille nombreuse et un homosexuel se rencontrent.
Les_Chaussons_rouges|Emeric Pressburger|Drame, musique, romance|1949-06-10|2 h 15 min|8.1|3792|56|3.8K|518|4.2K|Boris Lermontov dirige d'une main de fer une troupe de ballet qui porte son nom. Il sait à merveille découvrir et utiliser de jeunes talents, mais il n'admet pas qu'ils puissent lui échapper. Un jour, il engage le jeune Julian Craster et lui confie la réécriture et la composition d'un ballet...
Paris_Is_Burning|Jennie Livingston|||1 h 11 min|8.1|1855|10|1.9K|280|1.8K|Un documentaire sur les drag queens de New York. Des homosexuels noirs et des latinos se déguisent en femme et inventent une nouvelle danse imitant les poses des modèles sur les couvertures des magazines.
Les_Nibelungen|Fritz Lang|Drame, aventure, muet|1924-02-14|4 h 53 min|8.1|864|16|864|89|2.3K|Siegfried, fils unique du roi Siegmund, quitte son pays pour la Cour des Burgondes. En chemin, il tue un dragon dont le sang, dans lequel il se baigne, lui confère une quasi invulnérabilité...
faust|Friedrich Wilhelm Murnau|Muet, drame, fantasy|1926-10-14|1 h 56 min|8.1|2278|35|2.3K|293|3.3K|Faust accepte de signer un pacte avec le Diable pour sauver son village de la peste et de retrouver sa jeunesse en échange de son âme.
Onibaba_les_tueuses|Kaneto Shindō|Drame, Épouvante-horreur|1966-01-29|1 h 45 min|8.1|1450|29|1.5K|261|2.5K|Au XVème siècle, une vieille femme et sa bru survivent en assassinant et dépouillant les soldats qui s'aventurent dans les marais environnants.
La_Bataille_de_Tchernobyl|Thomas Johnson|Historique||1 h 34 min|8.1|1146|10|1.1K|107|2.1K|26 avril 1986 : une flamme de 1000 pieds de haut s'élève dans le ciel d'Ukraine. Le quatrième réacteur de la centrale nucléaire de Tchernobyl explose. Une bataille s'engage pour "liquider" la radioactivité.
